#
#  rhodopirellula_europaea_6ccyc 1.0 Reactions link table generated on Sun Jun 25, 2023
#
DISULFOXRED-RXN	EC-1.8.4
ATP-ADENYLYLTRANSFERASE-RXN	EC-2.7.7.53
2.7.7.60-RXN	EC-2.7.7.60
RXN-12280	EC-3.2.1.68
RXN-15745	EC-1.1.5.3
RXN0-5257	
RXN-2043	EC-3.2.1.4
3.2.1.68-RXN	EC-3.2.1.68
PSERTRANSAM-RXN	EC-2.6.1.52
PSERTRANSAMPYR-RXN	EC-2.6.1.52
RXN-4301	EC-3.2.1.68
RXN-21415	EC-7.1.1.2
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.11
RXN-14992	EC-2.1.1.297
NADH-DEHYDROG-A-RXN	EC-7.1.1.2
KDO-8PPHOSPHAT-RXN	EC-3.1.3.45
ADENOSYLHOMOCYSTEINASE-RXN	EC-3.3.1.1
RXN-16391	EC-5.1.99.1
DARAB5PISOM-RXN	EC-5.3.1.13
RXN-8775	EC-1.2.1.26
RXN-15047	EC-3.1.12.1
25-DIOXOVALERATE-DEHYDROGENASE-RXN	EC-1.2.1.26
METHYLMALONYL-COA-EPIM-RXN	EC-5.1.99.1
RXN-12365	EC-1.18.1.3
FTRMBARK-RXN	EC-2.3.1.101
RXN-12610	EC-2.5.1.3
THI-P-SYN-RXN	EC-2.5.1.3
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN	EC-1.1.1.31
RXN-12611	EC-2.5.1.3
FERREDOXIN--NAD+-REDUCTASE-RXN	EC-1.18.1.3
2.3.1.101-RXN	EC-2.3.1.101
RXN-8674	EC-1.4.3.19
2.5.1.19-RXN	EC-2.5.1.19
FORMYLMETHANOFURAN-DEHYDROGENASE-RXN	EC-1.2.7.12
1.4.3.19-RXN	EC-1.4.3.3	EC-1.4.3.19
RXN-12614	
RXN-13329	
GLUTATHIONE-PEROXIDASE-RXN	EC-1.11.1.9
RXN-8673	EC-1.4.3.19
FERREDOXIN--NITRITE-REDUCTASE-RXN	EC-1.7.7.1
R621-RXN	EC-1.14.12.17
RXN-17951	EC-1.4.3.19
GLUTRNAREDUCT-RXN	EC-1.2.1.70
RXN-1828	EC-2.4.1.25
SAICARSYN-RXN	EC-6.3.2.6
HOMOCYSMETB12-RXN	EC-2.1.1.13
RXN-21538	
RXN-9023	EC-2.4.1.25
RXN-21539	
THREONINE--TRNA-LIGASE-RXN	EC-6.1.1.3
RXN-19947	EC-3.2.1.33	EC-2.4.1.25
RXN-13202	EC-6.3.4.16
RXN-14354	EC-2.4.1.25
RXN-16910	
CARBPSYN-RXN	EC-6.3.5.5
RXN-14261	EC-2.4.1.25
RXN-22735	EC-6.3.4.16
RXN-16909	
RXN-8672	EC-1.4.3.19
RXN-22736	
RXN-12193	EC-2.4.1.25
RXN-14196	
ACETOLACTREDUCTOISOM-RXN	EC-1.1.1.86
ASPARTATEKIN-RXN	EC-2.7.2.4
RXN-12391	EC-2.4.1.25
ACETOOHBUTREDUCTOISOM-RXN	EC-1.1.1.86
AMYLOMALT-RXN	EC-2.4.1.25
RXN-14260	EC-2.4.1.25
PRAISOM-RXN	EC-5.3.1.24
PEPTIDYLGLYCINE-MONOOXYGENASE-RXN	EC-1.14.17.3
DIHYDROXYISOVALDEHYDRAT-RXN	EC-4.2.1.9
DIHYDROXYMETVALDEHYDRAT-RXN	EC-4.2.1.9
RNA-DIRECTED-DNA-POLYMERASE-RXN	EC-2.7.7.49
RXN-9160	EC-5.1.3.10
2.7.9.3-RXN	EC-2.7.9.3
3.2.1.37-RXN	EC-3.2.1.37
DIAMINOPIMDECARB-RXN	EC-4.1.1.20
RXN0-5266	EC-7.1.1.7
RXN-18395	EC-2.5.1.140
RXN-20993	EC-7.1.1.7
TRANS-RXN0-234	
3.4.23.43-RXN	EC-3.4.23.43
RXN-20992	EC-7.1.1.7
RXN-17661	
GLUTATHIONE-REDUCT-NADPH-RXN	EC-1.8.1.7
RXN-21392	EC-7.1.1.7
RXN-21413	
GLUTKIN-RXN	EC-2.7.2.11
PHOSPHASERDECARB-RXN	EC-4.1.1.65
RXN-14014	EC-1.17.1.8
CHOLINE-SULFATASE-RXN	EC-3.1.6.6
FARNESYLTRANSTRANSFERASE-RXN	EC-2.5.1.29
PEPTIDYLPROLYL-ISOMERASE-RXN	EC-5.2.1.8
THI-P-KIN-RXN	EC-2.7.4.16
ORNDECARBOX-RXN	EC-4.1.1.17
RXN-7737	EC-2.6.1.83
GTP-CYCLOHYDRO-I-RXN	EC-3.5.4.16
GSDEADENYLATION-RXN	EC-2.7.7.89
GSADENYLATION-RXN	EC-2.7.7.42
3.1.2.23-RXN	EC-3.1.2.23
DCDPKIN-RXN	EC-2.7.4.6
DTDPKIN-RXN	EC-2.7.4.6
DGDPKIN-RXN	EC-2.7.4.6
GDPKIN-RXN	EC-2.7.4.6
DADPKIN-RXN	EC-2.7.4.6
1.1.1.271-RXN	EC-1.1.1.271
FCLEPIM-RXN	
DUDPKIN-RXN	EC-2.7.4.6
GSAAMINOTRANS-RXN	EC-5.4.3.8
FCLREDUCT-RXN	
DLACTDEHYDROGNAD-RXN	EC-1.1.1.28
2.3.1.157-RXN	EC-2.3.1.157
RXN-8777	EC-4.2.1.141
1.17.1.1-RXN	EC-1.17.1.1
PRPPSYN-RXN	EC-2.7.6.1
UDPSUGARHYDRO-RXN	EC-3.6.1.45
4.2.3.12-RXN	EC-4.2.3.12
RXN0-5507	EC-4.1.2.50
2.7.8.24-RXN	EC-2.7.8.24
RXN0-5116	EC-2.7.1.16
GLUTAMATE-DEHYDROGENASE-NADP+-RXN	EC-1.4.1.3
RIBULOKIN-RXN	EC-2.7.1.16
4.3.1.17-RXN	EC-4.3.1.17
RXN-12726	EC-2.5.1.47
RXN-15125	
2.7.13.3-RXN	EC-2.7.13.3
OROTATE-REDUCTASE-NADH-RXN	EC-1.3.1.14
ACSERLY-RXN	EC-2.5.1.47
SPONTPRO-RXN	
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN	EC-1.3.1.1
RXN-14206	EC-4.2.1.96
RXN-7908	EC-4.2.1.96
RXN0-6565	EC-1.3.1.1
2-OXOGLUTARATE-SYNTHASE-RXN	EC-1.2.7.3
P-PANTOCYSLIG-RXN	EC-6.3.2.5
RXN-14474	EC-1.2.7.11
RXN-22914	
RXN-22915	
P-PANTOCYSDECARB-RXN	EC-4.1.1.36
RXN-13908	EC-4.2.1.96
2.1.1.79-RXN	EC-2.1.1.79
DEOXYGLUCONOKIN-RXN	EC-2.7.1.178	EC-2.7.1.45
IMP-DEHYDROG-RXN	EC-1.1.1.205
RXN1G-2544	EC-2.1.1.79
SUCCINYLDIAMINOPIMTRANS-RXN	EC-2.6.1.17
RXN-7421	EC-2.1.1.79
RXN-9523	EC-2.3.1.179	EC-2.3.1.41
ACETYLORNTRANSAM-RXN	EC-2.6.1.11
IGPSYN-RXN	EC-4.1.1.48
FGAMSYN-RXN	EC-6.3.5.3
RXN1G01-65	EC-2.1.1.79
RXN1G-3641	EC-2.1.1.79
PANTOATE-BETA-ALANINE-LIG-RXN	EC-6.3.2.1
RXN-13760	EC-2.7.7.83
NAG1P-URIDYLTRANS-RXN	EC-2.7.7.23
GLYCEROL-KIN-RXN	EC-2.7.1.30
RXN-9516	EC-2.3.1.179	EC-2.3.1.41
RXN0-6485	EC-3.1.26.12
1.8.4.8-RXN	EC-1.8.4.8
3.1.26.12-RXN	EC-3.1.26.12
RXN-12019	EC-1.8.4.10
RXN0-6523	EC-3.1.26.12
2.7.7.1-RXN	EC-2.7.7.1
UROGENIIISYN-RXN	EC-4.2.1.75
RXN0-6522	EC-3.1.26.12
RXN-13403	EC-2.1.1.107
RXN0-6478	EC-3.1.26.12
UROPORIIIMETHYLTRANSA-RXN	
3.4.11.4-RXN	EC-3.4.11.4
RXN-8675	
RXN0-6521	EC-3.1.26.12
NICONUCADENYLYLTRAN-RXN	EC-2.7.7.18
3-OXOACYL-ACP-SYNTH-RXN	EC-2.3.1.179	EC-2.3.1.41
RXN-15157	EC-2.7.1.202
DURIDKI-RXN	EC-2.7.1.145	EC-2.7.1.21
2.7.1.145-RXN	EC-2.7.1.145
DEOXYGUANOSINE-KINASE-RXN	EC-2.7.1.74	EC-2.7.1.113	EC-2.7.1.145
3.1.3.16-RXN	EC-3.1.3.16
THYKI-RXN	EC-2.7.1.145	EC-2.7.1.21
RXN-15151	EC-2.7.1.202
RXN-14093	EC-2.7.1.74	EC-2.7.1.145
RXN-17127	EC-6.3.1.20
RXN-15155	EC-2.7.1.202
6.3.5.6-RXN	EC-6.3.5.6
RXN-8655	
RXN-20080	
DEOXYADENOSINE-KINASE-RXN	EC-2.7.1.74	EC-2.7.1.76	EC-2.7.1.145
RXN-20081	
RXN0-1141	EC-6.3.1.20
RXN-15084	EC-2.7.1.202
RXN-8654	
AICARSYN-RXN	EC-4.3.2.2
RXN-13039	
RXN-15150	EC-2.7.1.202
AMPSYN-RXN	EC-4.3.2.2
RXN-15154	EC-2.7.1.202
RXN-22497	EC-4.3.2.2
RXN-15152	EC-2.7.1.202
RXN0-5098	EC-6.3.1.20
RXN-12093	EC-6.3.4.20
RXN-16629	EC-2.3.1.179	EC-2.3.1.41
AGMATINE-DEIMINASE-RXN	EC-3.5.3.12
INORGPYROPHOSPHAT-RXN	EC-3.6.1.1
3PGAREARR-RXN	EC-5.4.2.12
DIHYDROKAEMPFEROL-4-REDUCTASE-RXN	EC-1.1.1.219
3-OXOACYL-ACP-SYNTH-BASE-RXN	EC-2.3.1.41	EC-2.3.1.179
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2
RXN-7784	EC-1.1.1.219
RXN0-5055	EC-2.1.3.15
RXN-600	EC-1.1.1.219
RXN-12752	EC-5.1.99.6
GMP-SYN-GLUT-RXN	EC-6.3.5.2
RXN-12625	EC-3.2.1.52
RXN-13142	EC-5.1.99.6
RXN-22591	EC-3.2.1.52
RXN-13141	EC-4.2.1.136
GLUTAMIN-RXN	EC-3.5.1.38	EC-3.5.1.2
GMP-SYN-NH3-RXN	
RXN-17678	EC-1.1.1.219
RXN-22612	EC-3.2.1.52
RXN0-6727	EC-4.2.1.136
RXN-19726	EC-3.1.1.96
RXN-15041	EC-3.1.1.96
RXN-21432	EC-3.2.1.52
RXN-19727	EC-3.1.1.96
RXN-19728	EC-3.1.1.96
FADSYN-RXN	EC-2.7.7.2
RXN-19729	EC-3.1.1.96
RXN-18082	EC-3.2.1.52
RXN-18511	EC-2.7.7.2
BIOTIN-CARBOXYL-RXN	EC-6.3.4.14
RXN-12626	EC-3.2.1.52
RIBOFLAVINKIN-RXN	EC-2.7.1.26
3.4.11.9-RXN	EC-3.4.11.9
RXN-18510	EC-2.7.1.26
ADENYL-KIN-RXN	EC-2.7.4.3
3.2.1.52-RXN	EC-3.2.1.52
RXN0-5226	EC-3.2.1.52
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	EC-3.1.3.7
3.1.13.3-RXN	EC-3.1.13.3
RXN-15138	EC-3.8.1.2
RXN-11638	EC-2.1.1.199
2-HALOACID-DEHALOGENASE-RXN	EC-3.8.1.10	EC-3.8.1.2
LXULRU5P-RXN	EC-5.1.3.22
CDPDIGLYSYN-RXN	EC-2.7.7.41
RXN0-5515	EC-2.7.7.41
RXN0-7008	EC-1.5.5.2
RXN0-5244	
RXN-20524	EC-2.7.7.41
